PCA_1,PCA_2,segmento_cliente
-1.8571439596409032,4.78136040226657,2
3.1341433984394693,-0.8764884588547949,0
-3.2090305410051174,-0.878613798232187,2
1.397509090909419,1.6735946070886807,1
2.2182993357861167,-0.9883889562659892,0
2.9527947262620464,1.6508312504025466,1
2.5167383174687568,-2.2241609969724854,0
-2.2349493024806066,-1.6573053912140812,0
1.699626569391556,1.5918055353087155,1
-5.797676418275671,-0.694476754822946,2
0.6295264825836546,0.3463461666565354,2
0.4825317455023704,1.9202257912544314,1
-2.8057525196487614,1.586840631572742,2
-2.4564286675986486,-1.0762957644197368,2
1.2942082734583054,0.08463974720555718,0
-2.6527747200414606,1.3419384047866245,0
-0.5023264296659149,-1.5941106499152384,1
-1.375829981639184,1.7935545010690892,1
-0.7750972101812752,-2.9958846394124166,2
-3.755396992109101,-1.6308142920216933,2
-2.049514268447027,1.9092029637250494,2
0.9831887812016271,1.3493072176750405,1
-1.9006688490695938,0.8165342910645584,2
-0.515328018873065,1.778750769705686,1
3.126688164351647,1.917817835149627,1
0.8447830511377054,-0.6922252705368015,0
-0.5969563096012903,0.2404548037015803,1
0.5375113169934893,-2.1895517354132195,0
1.8033213125636283,0.8427945056163573,1
0.8452198961454985,-1.5527344749907948,1
2.5830852604305763,1.151684717100194,1
-2.3075189447057944,-1.80040089417462,2
-1.083595528461154,-0.47438498612188845,2
1.5138193304747194,1.8083056839717893,1
-2.0864029279456835,-0.7293447184253707,0
1.7719401638731276,0.5053174371071295,1
3.2258808944121657,-1.208301843950923,0
-1.8510005992232281,-0.2717708703891804,2
-1.4341597926021408,1.9756267330101573,2
-2.0764871087132497,0.11924742814666145,1
3.4112018066596237,0.47957362262466297,0
-3.2363195507210256,1.8115290601504437,2
1.4683937122106523,-2.484648283901007,1
-2.1391995815832963,0.2686124361832142,2
1.3125735257153621,1.593339717027874,1
1.6465878297162784,-0.5479530099576193,0
-2.2484608640603367,-2.1403660537584592,0
2.2585751305889823,-1.0550936688860013,0
0.40328156382524777,0.40265604608685146,1
0.7872854419817766,1.564049957183605,0
