Componente,Varianza_Explicada,Varianza_Acumulada
1,0.04734427198441843,0.04734427198441843
2,0.04156459452858381,0.08890886651300224
3,0.032362717043323906,0.12127158355632614
4,0.02776370402217375,0.14903528757849988
5,0.026444720113334676,0.17548000769183456
6,0.020607951152921942,0.1960879588447565
7,0.019965317228405596,0.2160532760731621
8,0.019200075572758577,0.23525335164592068
9,0.018088649952694234,0.2533420015986149
10,0.01735118598279284,0.27069318758140776
11,0.016625171669751408,0.28731835925115917
12,0.01636833126336693,0.3036866905145261
13,0.015784453837059165,0.3194711443515853
14,0.01563138164484946,0.33510252599643475
15,0.015486308097723746,0.3505888340941585
16,0.01477394955840074,0.3653627836525592
17,0.014699364907784788,0.380062148560344
18,0.014502854654234126,0.3945650032145781
19,0.014271509867487002,0.4088365130820651
20,0.014096098471946258,0.42293261155401135
21,0.013670752350476007,0.43660336390448734
22,0.013277578150658213,0.44988094205514556
23,0.013197126119554427,0.4630780681747
24,0.012995976335617616,0.4760740445103176
25,0.012541407517495384,0.488615452027813
26,0.012445221527312367,0.5010606735551253
27,0.012192387594861718,0.513253061149987
28,0.012091083941693741,0.5253441450916808
29,0.01175413869181899,0.5370982837834998
30,0.011642295912376952,0.5487405796958768
31,0.01151749402728235,0.5602580737231591
32,0.011308864388248909,0.571566938111408
33,0.011024181106788631,0.5825911192181966
34,0.01094461285220073,0.5935357320703973
35,0.010648262908856046,0.6041839949792533
36,0.010566912174489037,0.6147509071537424
37,0.010329424849854529,0.6250803320035969
38,0.010264239390393302,0.6353445713939903
39,0.010072563672151766,0.6454171350661421
40,0.009646925952559919,0.655064061018702
41,0.009623475288929807,0.6646875363076318
42,0.009447817708839122,0.6741353540164708
43,0.00931687498459874,0.6834522290010696
44,0.009208621016007989,0.6926608500170776
45,0.00876880402345897,0.7014296540405365
46,0.008709881042081681,0.7101395350826182
47,0.008455612249718617,0.7185951473323368
48,0.008336941886792638,0.7269320892191294
49,0.008334593624701883,0.7352666828438313
50,0.008294709532866004,0.7435613923766974
51,0.008118863092060388,0.7516802554687577
52,0.007981200988839433,0.7596614564575972
53,0.0077883363383238775,0.7674497927959211
54,0.007635390578842305,0.7750851833747634
55,0.007448594840623519,0.7825337782153869
56,0.007281010396144565,0.7898147886115315
57,0.007069025120643083,0.7968838137321747
58,0.006868936022690308,0.803752749754865
59,0.006745978509356102,0.8104987282642211
60,0.006578005473153275,0.8170767337373743
61,0.006502673202970658,0.823579406940345
62,0.006418799451547917,0.8299982063918929
63,0.006223302052641633,0.8362215084445346
64,0.006190908857680311,0.8424124173022149
65,0.0061217921713375215,0.8485342094735525
66,0.005981216092555043,0.8545154255661076
67,0.00574365829920465,0.8602590838653122
68,0.005698018040969179,0.8659571019062814
69,0.005594649557690666,0.871551751463972
70,0.005512677705109539,0.8770644291690816
71,0.00530802358529978,0.8823724527543814
72,0.005238687817417265,0.8876111405717986
73,0.005162720146310203,0.8927738607181088
74,0.0050101943823767925,0.8977840551004856
75,0.00486092802961214,0.9026449831300978
76,0.004803569180505797,0.9074485523106036
77,0.00473057735081096,0.9121791296614146
78,0.00464570150628654,0.9168248311677011
79,0.004531880867918474,0.9213567120356195
80,0.004388973433703428,0.925745685469323
81,0.004257667512887554,0.9300033529822106
82,0.00417282554301626,0.9341761785252268
83,0.0041318659383949114,0.9383080444636217
84,0.0039824445609119175,0.9422904890245336
85,0.0038069560982327533,0.9460974451227664
86,0.003778648180760918,0.9498760933035273
87,0.0037064316279912285,0.9535825249315185
88,0.003594324185353078,0.9571768491168716
89,0.003517318448436259,0.9606941675653079
90,0.0033867530122405993,0.9640809205775485
91,0.0032887551220882874,0.9673696756996367
92,0.0031214309262828166,0.9704911066259195
93,0.003087985179149842,0.9735790918050694
94,0.0030193883752468323,0.9765984801803163
95,0.002772792468442664,0.9793712726487589
96,0.0027007318205757185,0.9820720044693346
97,0.0025055250231514853,0.9845775294924861
98,0.0023815384631679717,0.9869590679556541
99,0.0023007696630904942,0.9892598376187446
100,0.0022121357588919385,0.9914719733776365
101,0.0021235366453509325,0.9935955100229874
102,0.0020643283293880366,0.9956598383523755
103,0.0019369975426645099,0.99759683589504
104,0.0014387074411252219,0.9990355433361652
105,0.0009644566638349582,1.0000000000000002
106,9.306427816657316e-33,1.0000000000000002
107,2.163075875572076e-33,1.0000000000000002
108,1.6434742372530237e-33,1.0000000000000002
109,1.3067453031729717e-33,1.0000000000000002
110,1.2033480756689991e-33,1.0000000000000002
111,1.2023474013521083e-33,1.0000000000000002
112,9.688770185478745e-34,1.0000000000000002
113,8.945238503525212e-34,1.0000000000000002
114,8.438405860962328e-34,1.0000000000000002
115,7.00253481996085e-34,1.0000000000000002
116,6.040404166643574e-34,1.0000000000000002
117,6.033055547186638e-34,1.0000000000000002
118,5.170207374664764e-34,1.0000000000000002
119,4.793827926379125e-34,1.0000000000000002
120,2.81724366898911e-34,1.0000000000000002
